# 건축HUB 용도코드 세분류 정본 (서울 층별개요 3,030,919행 전수 관측 · 2026-07-11)
# 코드(5자리) | 명칭 | 서울 층 수 — 대분류=천단위(01000), 세분류=하위
||1337
10202|연수원|203
10299|기타교육원|71
10301|연구소|2772
10302|시험소|6
10399|기타연구소|66
10401|학원|460
10402|교습소|6
10999|기타교육연구시설|9584
11000|노유자시설|2
11100|아동관련시설|13
11101|유치원|588
11102|영유아보육시설|2008
11103|어린이집|3399
11104|아동복지시설|463
11199|기타아동관련시설|1191
11201|노인복지시설|5327
11202|사회복지시설|1806
11203|근로복지시설|65
11999|기타노유자시설|1586
12001|유스호스텔|105
12101|청소년수련원(관)|168
12103|청소년문화의집|137
12104|청소년특화시설|13
12105|청소년수련관|37
12199|기타생활권수련시설|39
12201|청소년수련원(관)|19
12203|청소년수련원|2
12299|기타자연권수련시설|1
12999|기타수련시설|41
13000|운동시설|3
13001|체육관|343
13002|운동장시설|67
13003|탁구장|52
13004|체육도장|46
13005|테니스장|75
13006|체력단련장|918
13007|에어로빅장|25
13008|볼링장|88
13009|당구장|76
13011|골프연습장|625
13012|물놀이형시설|4
13014|놀이형시설|19
13102|구기장|14
13103|볼링장|1
13104|수영장|58
13105|스케이트장|2
13106|롤러스케이트장|4
13108|사격장|2
13110|골프장|8
13999|기타 운동시설|1375
14000|업무시설|29
14100|공공업무시설|1
14101|국가기관청사|347
14102|자치단체청사|638
14103|외국공관|96
14199|기타공공업무시설|1098
14200|일반업무시설|381
14201|금융업소|2145
14202|오피스텔|63087
14203|신문사|52
14204|사무소|40686
14206|출판사|2
14299|기타일반업무시설|40846
15001|고시원|157
15002|생활숙박시설|912
15003|다중생활시설|52
15100|일반숙박시설|3
15101|호텔|1050
15102|여관|5520
15103|여인숙|137
15104|일반숙박시설|672
15199|기타일반숙박시설|2111
15201|관광호텔|6672
15204|가족호텔|225
15205|휴양콘도미니엄|128
15206|호스텔|1745
15207|소형호텔|77
15208|의료관광호텔|32
15299|기타관광숙박시설|1012
15999|기타숙박시설|80
16000|위락시설|1
16001|단란주점|56
16002|유흥주점|1224
16003|특수목욕장|8
16004|유기장|66
16005|투전기업소|4
16006|무도장(학원)|103
16007|주점영업|84
16008|카지노업소|7
16009|유원시설업의시설|42
16010|무도장|8
16011|무도학원|9
16012|카지노영업소|7
16014|테마파크업의시설|1
16999|기타위락시설|718
17000|공장|9
17100|일반공장|5984
17200|유해공장|111
17301|물품 제조공장|237
17302|물품 가공공장|18
17303|물품 염색공장|1
17304|물품 도장공장|2
17308|물품 인쇄공장|231
17999|기타공장|8985
18000|창고시설|22
18001|창고|3952
18002|하역장|10
18003|물류터미널|1
18004|집배송시설|15
18101|일반창고|904
18102|냉장창고|7
18103|냉동창고|26
18999|기타창고시설|1460
19000|위험물저장및처리시설|1
19001|주유소|1402
19002|액화석유가스충전소|173
19003|위험물제조소|2
19004|위험물저장소|35
19005|액화가스취급소|44
19006|액화가스판매소|41
19007|유독물보관저장시설|22
19008|고압가스충전저장소|22
19009|석유판매소|113
19010|위험물취급소|8
19013|유독물보관소|3
19014|유독물저장소|1
19015|유독물판매시설|5
19016|고압가스충전소|17
19019|도료류판매소|97
19020|도시가스공급시설|8
19999|기타위험물저장처리시설|708
20000|자동차관련시설|5
20001|주차장|15691
20002|세차장|915
20003|폐차장|10
20004|검사장|100
20005|매매장|205
20006|정비공장|1579
20007|운전학원|26
20008|정비학원|21
20009|차고|874
20010|주기장|2
20999|기타자동차관련시설|1592
21004|종묘배양시설|7
21005|온실|67
21100|축사|1
21101|축사|110
21105|부화장|3
21201|가축용운동시설|2
21203|관리사|1
21206|동물검역소|1
21207|실험동물사육시설|4
21299|기타가축시설|6
21999|기타동식물관련시설|77
22001|분뇨처리시설|56
22002|폐기물처리시설|74
22003|폐기물재활용시설|12
22004|고물상|1
22005|폐기물처리시설및폐기물감량화시설|27
22999|기타분뇨쓰레기처리시설|325
23002|군사시설|55
23003|국방ㆍ군사시설|651
23999|기타교정및군사시설|28
24001|방송국|84
24002|전신전화국|109
24003|촬영소|23
24004|통신용시설|310
24005|데이터센터|133
24101|방송국|172
24102|방송프로그램제작시설|8
24105|중계시설|1
24999|기타방송통신시설|156
25001|발전소|30
25999|기타발전시설|40
26002|납골당|9
26003|묘지에 부수되는 건축물|7
26004|봉안당|5
26005|화장시설|3
26999|기타묘지관련시설|66
27001|야외음악당|3
27002|야외극장|2
27003|어린이회관|3
27004|관망탑|42
27005|휴게소|26
27006|관광지시설|16
27007|공원에 부수되는 시설|65
27008|유원지에 부수되는 시설|16
27009|관광지에 부수되는 시설|2
27999|기타관광휴게시설|253
28006|가설점포|5
28007|경비용가설건축물|1
28009|임시사무실|2
28010|임시창고|1
28011|임시숙소|1
29001|장례식장|49
30001|하수등처리시설|83
30003|폐기물재활용시설|34
30004|폐기물처분시설|4
30005|폐기물감량화시설|7
30999|기타자원순환관련시설|39
31001|관리동|8
31002|화장실|4
31999|기타야영장시설|3
33001|국방,군사시설|179
33999|기타국방,군사시설|6
Z3000|근린생활시설|22
Z3001|소매점|466
Z3002|휴게음식점|33
Z3003|이(미)용원|19
Z3004|일반목욕장|24
Z3005|의원|60
Z3010|정수장|1
Z3011|대피소|19
Z3012|공중화장실|14
Z3014|치과의원|6
Z3015|한의원|11
Z3018|조산소|1
Z3019|탁구장|28
Z3020|체육도장|12
Z3100|공공시설|2
Z3101|동사무소|8
Z3103|파출소|3
Z3107|방송국|16
Z3199|기타공공시설|74
Z3201|일반음식점|18
Z3202|휴게음식점|15
Z3203|기원|4
Z3205|제조업소|14
Z3206|수리점|6
Z3207|게임제공업소|2
Z3208|사진관|4
Z3209|표구점|4
Z3210|학원|59
Z3214|독서실|12
Z3217|의약품도매점|12
Z3219|안마시술소|2
Z3220|노래연습장|4
Z3221|세탁소|4
Z3302|체력단련장|6
Z3304|볼링장|2
Z3305|당구장|24
Z3307|골프연습장|4
Z3399|기타운동시설|1
Z3400|종교집회장|8
Z3401|교회|7
Z3499|기타종교집회장|24
Z3501|극장(영화관)|5
Z3600|사무소|29
Z3601|금융업소|5
Z3602|사무소|588
Z3603|부동산중개업소|11
Z3604|결혼상담소|1
Z3699|기타사무소|88
Z3999|기타근린생활시설|6375
Z6000|판매및영업시설|12
Z6999|기타판매및영업시설|614
Z8000|교육연구및복지시설|4
Z8999|기타교육연구및복지시설|978
Z9999|기타공공용시설|64
k3099||1
점||2
